;media de puntos concavos;;;;;;;;;;;;;;;
1;0,1471;;;Variable Edad;CONTINUA;;Max;min;;r;n;119;;;;
2;0,07017;;;;Rango: r;;0,2012;0;;0,2012;;;;;;
3;0,1279;;;;clases: k;;Sturges;8,451093923;;8;Redondeo simple;;;;;
4;0,1052;;;;w;;0,02515;;;0,1;redondeo por exceso, al numerode decimales de la variable;;;;;
5;0,1043;;;;;;;;;;;;;;;
6;0,09498;;;;;;;;;;;;;;;
7;0,04781;;;;;;;;;;;;;;;
8;0,0311;;;;k;;li;ls;;MC;fi;hi;pi;Fi;Hi;Pi
9;0,02076;;;;1;[;0;0,1;];0;106;0,89;89,1%;106;0,89;89%
10;0,09756;;;;2;];0,1;0,2;];0;12;0,10;10,1%;118;0,991596639;99%
11;0,08632;;;;3;];0,2;0,3;];0;1;0,01;0,8%;119;1;100%
12;0,0917;;;;4;];0,3;0,4;];0;0;0,00;0,0%;119;1;100%
13;0,05598;;;;5;];0,4;0,5;];0;0;0,00;0,0%;119;1;100%
14;0,02923;;;;6;];0,5;0,6;];1;0;0,00;0,0%;119;1;100%
15;0,02899;;;;7;];0,6;0,7;];1;0;0,00;0,0%;119;1;100%
16;0,05439;;;;8;];0,7;0,8;];1;0;0,00;0,0%;119;1;100%
17;0,02031;;;;;];;;];;;0,00;0,0%;119;1;100%
18;0,05669;;;;;;;;;TOTAL;119;1,00;100,0%;;1;
19;0,09961;;;;;;;;;;;;;;;
20;0,06158;;;;;;;;;;;;;;;
21;0,05252;;;; ;;Clase;Frecuencia;;;;;;;;
22;0,1009;;;;;;0,1;106;;;;;;;;
23;0,005917;;;;;;0,2;12;;;;;;;;
24;0,0734;;;;;;0,3;1;;;;;;;;
25;0,02749;;;;;;0,4;0;;;;;;;;
26;0,03384;;;;;;0,5;0;;;;;;;;
27;0,01115;;;;;;0,6;0;;;;;;;;
28;0,01723;;;;;;0,7;0;;;;;;;;
29;0,01349;;;;;;0,8;0;;;;;;;;
30;0,106;;;;;;y mayor...;0;;;;;;;;
31;0,03334;;;;;;;;;;;;;;;
32;0,02278;;;;;;;;;;;;;;;
33;0,08994;;;;;;;;;;;;;;;
34;0,08123;;;;;;;;;;;;;;;
35;0,004167;;;;;;;;;;;;;;;
36;0,007799;;;;;;;;;;;;;;;
37;0,0129;;;;;;;;;;;;;;;
38;0,009259;;;;;;;;;;;;;;;
39;0,08653;;;;;;;;;;;;;;;
40;0,0218;;;;;;;;;;;;;;;
41;0,06873;;;;;;;;;;;;;;;
42;0,09029;;;;;;;;;;;;;;;
43;0,01504;;;;;;;;;;;;;;;
44;0,0223;;;;;;;;;;;;;;;
45;0,04375;;;;;;;;;;;;;;;
46;0,02864;;;;;;;;;;;;;;;
47;0,07951;;;;;;;;;;;;;;;
48;0,02872;;;;;;;;;;;;;;;
49;0,07944;;;;;;;;;;;;;;;
50;0,05069;;;;;;;;;;;;;;;
51;0,02272;;;;;;;;;;;;;;;
52;0,06638;;;;;;;;;;;;;;;
53;0,06556;;;;;;;;;;;;;;;
54;0,108;;;;;;;;;;;;;;;
55;0,1604;;;;;;;;;;;;;;;
56;0,02315;;;;;;;;;;;;;;;
57;0,02233;;;;;;;22;;;;;;;;
58;0,06987;;;;;;;;;;;;;;;
59;0,1845;;;;;;;;;;;;;;;
60;0,1469;;;;;;;;;;;;;;;
61;0,01863;;;;;;;;;;;;;;;
62;0,08795;;;;;;;;;;;;;;;
63;0,04938;;;;;;;;;;;;;;;
64;0,08271;;;;;;;;;;;;;;;
65;0,03745;;;;;;;;;;;;;;;
66;0,07064;;;;;;;;;;;;;;;
67;0,02957;;;;;;;;;;;;;;;
68;0,07483;;;;;;;;;;;;;;;
69;0,02648;;;;;;;;;;;;;;;
70;0,0278;;;;;;;;;;;;;;;
71;0,08815;;;;;;;;;;;;;;;
72;0,08683;;;;;;;;;;;;;;;
73;0,02941;;;;;;;;;;;;;;;
74;0,007937;;;;;;;;;;;;;;;
75;0,0335;;;;;;;;;;;;;;;
76;0,05839;;;;;;;;;;;;;;;
77;0,04489;;;;;;;;;;;;;;;
78;0;;;;;;;;;;;;;;;
79;0,0177;;;;;;;;;;;;;;;
80;0,03029;;;;;;;;;;;;;;;
81;0,01201;;;;;;;;;;;;;;;
82;0,09601;;;;;;;;;;;;;;;
83;0,03485;;;;;;;;;;;;;;;
84;0,01921;;;;;;;;;;;;;;;
85;0,1823;;;;;;;;;;;;;;;
86;0,01899;;;;;;;;;;;;;;;
87;0,01778;;;;;;;;;;;;;;;
88;0,06021;;;;;;;;;;;;;;;
89;0,07798;;;;;;;;;;;;;;;
90;0,03068;;;;;;;;;;;;;;;
91;0,01924;;;;;;;;;;;;;;;
92;0,02008;;;;;;;;;;;;;;;
93;0,02308;;;;;;;;;;;;;;;
94;0,08923;;;;;;;;;;;;;;;
95;0,09479;;;;;;;;;;;;;;;
96;0,05596;;;;;;;;;;;;;;;
97;0,02623;;;;;;;;;;;;;;;
98;0,08665;;;;;;;;;;;;;;;
99;0,2012;;;;;;;;;;;;;;;
100;0,05778;;;;;;;;;;;;;;;
101;0,028;;;;;;;;;;;;;;;
102;0,01141;;;;;;;;;;;;;;;
103;0,03085;;;;;;;;;;;;;;;
104;0,05627;;;;;;;;;;;;;;;
105;0,08534;;;;;;;;;;;;;;;
106;0,1149;;;;;;;;;;;;;;;
107;0,02882;;;;;;;;;;;;;;;
108;0,08087;;;;;;;;;;;;;;;
109;0,05613;;;;;;;;;;;;;;;
110;0,05933;;;;;;;;;;;;;;;
111;0,06847;;;;;;;;;;;;;;;
112;0,02704;;;;;;;;;;;;;;;
113;0,026;;;;;;;;;;;;;;;
114;0,02875;;;;;;;;;;;;;;;
115;0,08624;;;;;;;;;;;;;;;
116;0,04796;;;;;;;;;;;;;;;
117;0;;;;;;;;;;;;;;;
118;0,05943;;;;;;;;;;;;;;;
119;0,01861;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
